method,elo,elo+,elo-,rank,winrate,improvability,improvability+,improvability-,mrr,rank=1_count,rank=2_count,rank=3_count,rank>3_count,time_train_s,time_infer_s,time_train_s_per_1K,time_infer_s_per_1K,normalized-error,normalized-error-task,imputed,median_rank,median_improvability,median_loss_rescaled,median_metric_error,median_time_train_s,median_time_infer_s,median_time_train_s_per_1K,median_time_infer_s_per_1K,median_normalized-error,median_normalized-error-task,median_imputed
RF (tuned),1123.5,49.1,41.6,33.431372549019606,0.39941904,0.17743934259483848,0.04501066227592426,0.04180365078070056,0.037971190155019735,0.0,0.0,0.0,51.0,2227.1437476008546,0.2597549288880591,528.9202336737816,0.14418858473403337,0.9354181686346841,0.9354181686346841,0.0,35.0,0.10956194264315378,0.1665411498199927,0.21762013729977114,876.37784075737,0.15849757194519043,377.08301133934634,0.09141294871228287,1.0,1.0,0.0
FASTAI (tuned),1098.5,60.4,75.9,34.86274509803921,0.37291217,0.1859493558748807,0.0559003620065644,0.03920592271770604,0.04557873946642881,0.0,1.0,0.0,50.0,6591.795950641819,1.031626776152966,1342.3410902155488,0.6256477184380718,0.91237809914671,0.91237809914671,0.0,36.0,0.13059040884116846,0.14536858093666782,0.230066749626332,3142.961499929428,0.8062961101531982,594.9528585230638,0.33651872811068495,1.0,1.0,0.0
NN_TORCH (default),1034.1,56.3,64.0,38.35294117647059,0.3082789,0.20301666226737958,0.05787763050196193,0.042100363375613487,0.029501673306965997,0.0,0.0,0.0,51.0,73.82550601865731,0.5703827493331012,14.544520367121898,0.24243997995483998,0.9628386028507356,0.9628386028507356,0.0,40.0,0.13504009324032717,0.18577135571610795,0.21872097588816108,30.76021695137024,0.2736239433288574,8.95763915486452,0.12885630130767822,1.0,1.0,0.0
XRFM_GPU (default),1026.9,68.2,71.7,38.72549019607843,0.3013798,0.22888990573242593,0.057425385473999196,0.04360338208675005,0.04927248441064273,1.0,0.0,0.0,50.0,43.17065006143906,3.806738212996838,6.131674604050689,1.1270379421189416,0.9222684987434577,0.9222684987434577,0.0,42.0,0.1790483622278214,0.21631154462695654,0.2562105477499491,10.647649765014648,0.8539636135101318,3.1441688876650904,0.7407369018977564,1.0,1.0,0.0
RF (default),1000.0,58.6,53.6,40.068627450980394,0.27650693,0.23029928165945646,0.04816577891177615,0.05008901798018034,0.030275892524861587,0.0,0.0,0.0,51.0,5.493931228039312,0.18195290658988206,0.9395711378622816,0.07441601332167096,0.9829234646286716,0.9829234646286716,0.0,41.0,0.177571856619686,0.2508526660588251,0.23701012383964215,1.763962745666504,0.09250092506408691,0.4316611380184793,0.05251745318464858,1.0,1.0,0.0
KNN (tuned + ensemble),969.2,57.2,76.4,41.529411764705884,0.24945535,0.2508239189846068,0.07014912532158879,0.049943830460544375,0.027216646988425425,0.0,0.0,0.0,51.0,7479.34973449333,300.71385903451954,348.93337468698303,18.440770386724346,0.9729767804251666,0.9729767804251666,0.0,44.0,0.18234356077953473,0.2879052309252948,0.2320940170940171,420.417236328125,5.422150135040283,129.10279833580836,1.6268077212842134,1.0,1.0,0.0
XT (default),967.4,68.5,75.4,41.6078431372549,0.24800289,0.24817803160516427,0.062146044401879375,0.056524666594758605,0.026799361770479934,0.0,0.0,0.0,51.0,3.237064623365215,0.20349772771199545,0.7705107029297205,0.07802443108906316,0.9738997024819133,0.9738997024819133,0.0,46.0,0.17840456061984322,0.22882807261289737,0.24149322588540667,0.9253263473510742,0.08609175682067871,0.25976606260770435,0.0542029349444295,1.0,1.0,0.0
FASTAI (default),965.3,65.4,71.2,41.705882352941174,0.24618734,0.22619516855633995,0.05395201692917981,0.047526688843372855,0.02662267240619995,0.0,0.0,0.0,51.0,27.62558492492227,1.0500701642503925,4.982714620465621,0.48138517234406897,0.963991710757252,0.963991710757252,0.0,45.0,0.16368649370392097,0.23163105370081521,0.23658119658119647,14.524733304977417,0.6894059181213379,3.1153293528650394,0.31195542895805195,1.0,1.0,0.0
Boruta_LGBM (tuned),918.8,78.7,84.9,43.72549019607843,0.20878725,0.29914693992448627,0.07861093063805824,0.0803925720015731,0.026588526003539795,0.0,0.0,0.0,51.0,3.405776874691832,0.20157398897058823,1.266279480550558,0.12700455139645117,0.9789436019995902,0.9789436019995902,0.0,47.5,0.19697047309689475,0.46586376247666195,0.23417238749046532,1.4010119438171387,0.045065879821777344,0.4699167175965162,0.037242865036312016,1.0,1.0,0.0
Boruta_LGBM (tuned + ensemble),918.8,78.2,88.1,43.72549019607843,0.20878723,0.29948388357790473,0.07872124844624873,0.08050942722415064,0.02695532589334693,0.0,0.0,0.0,51.0,3.405776874691832,0.29720410178689394,1.266279480550558,0.18507219302942662,0.9787942205382336,0.9787942205382336,0.0,47.5,0.1962930879112571,0.46586376247666195,0.23417238749046532,1.4010119438171387,0.05393505096435547,0.4699167175965162,0.03921845927834511,1.0,1.0,0.0
LR (tuned + ensemble),899.4,75.3,99.5,44.509803921568626,0.19426289,0.31622533152479965,0.07516707384190774,0.0630051491570292,0.04243097896017447,1.0,0.0,0.0,50.0,1273.2449920598199,1.4999811555825027,517.7026427754602,0.6540112215272788,0.9740061273796955,0.9740061273796955,0.0,49.0,0.22772727272727322,0.40552573382563517,0.2460526315789474,832.0974633693695,0.6803224086761475,240.73263350259634,0.3084794950532328,1.0,1.0,0.0
LR (tuned),869.7,71.9,101.6,45.63725490196079,0.17338417,0.3229550429720412,0.07784067210702295,0.06363626771567304,0.03174285167330113,0.0,1.0,0.0,50.0,1273.2449920598199,0.35859188846513335,517.7026427754602,0.10420055269260452,0.9793391144623248,0.9793391144623248,0.0,50.0,0.22455499771793808,0.46479682796379806,0.251140350877193,832.0974633693695,0.11032319068908691,240.73263350259634,0.06835738871767207,1.0,1.0,0.0
Boruta_LGBM (default),857.5,87.0,94.4,46.07843137254902,0.16521423,0.32282909883303734,0.08197917711198255,0.08471088446773212,0.02497125397970131,0.0,0.0,0.0,51.0,1.6030227343241374,0.198779868144615,0.5964512082544383,0.12649317997911683,0.9860071739345116,0.9860071739345116,0.0,51.0,0.2266619519094767,0.4728275137831457,0.24036778608526205,0.6502499580383301,0.04083418846130371,0.2193150159402709,0.03673410415649414,1.0,1.0,0.0
KNN (tuned),816.0,61.9,83.6,47.470588235294116,0.13943355,0.31263281352726446,0.06348397233334002,0.05863450831194561,0.021969479871452802,0.0,0.0,0.0,51.0,7479.34973449333,29.79767501120474,348.93337468698303,1.159054042033389,0.9872390708679074,0.9872390708679074,0.0,48.0,0.24050067054090363,0.3723171934803264,0.24349855195660186,420.417236328125,0.285475492477417,129.10279833580836,0.10322097135488845,1.0,1.0,0.0
LR (default),811.0,70.0,114.8,47.627450980392155,0.13652869,0.3493185257414216,0.074748569183967,0.0621931649685053,0.022604085091926834,0.0,0.0,0.0,51.0,6.458335193933225,0.44977833710464776,2.786542388522316,0.17303145235956305,0.9882935530710929,0.9882935530710929,0.0,51.0,0.27681906559510294,0.543143004666478,0.25338232487315304,4.2521257400512695,0.14241671562194824,1.2345965493562054,0.1154923411334987,1.0,1.0,0.0
KNN (default),627.1,69.6,102.6,52.0,0.055555556,0.44017641324399426,0.07448050401544448,0.052133430163784245,0.01941275399395523,0.0,0.0,0.0,51.0,2.5689965322905897,0.6719373347712498,0.5664790609406297,0.06670741698453093,1.0,1.0,0.0,54.0,0.3416476542602839,0.9962351026671571,0.29272222810294224,0.744457483291626,0.06936383247375488,0.1923106545956239,0.03673601895570755,1.0,1.0,0.0
